TUMOUR,N40554,R00884,AA489861,T50661,AA055368,AA455094,AA599116,AA670107,AA458932,T71606,R48231,H59620,AA158258,N48302,W31688,AA487428,N55187,N20820,AA486332,T63362,W72596,AA430503,N33228,AA490996,AA055101,AA456654,AA504348,N80922,W69094,AA453749,AA045074,R31679,AA490462,AA018979,W67316,AA461091,N95761,AA608582,T68113,N23047,W53015,AA455225,R15791,AA490737,AA625890,W42451,AI668697,AA459407,AA461092,AA700419
1,0.493,-1.149,0.988,0.112,0.732,0.839,-3.363,-2.759,-1.997,-0.161,1.086,-1.804,-0.684,0.228,-0.066,-1.865,1.218,0.011,-1.639,1.312,0.446,-2.252,1.196,-1.366,-0.026,1.313,-1.351,0.435,-1.002,-2.482,-1.016,5.469,1.857,1.661,0.825,1.264,0.828,-1.133,0.313,-0.528,-0.075,0.311,1.508,-0.577,0.515,-0.248,0.408,-0.255,-0.245,1.265
2,1.079,-0.448,0.886,0.602,-1.273,0.328,-1.764,-2.026,-0.706,-0.204,0.426,-0.383,-0.316,0.003,0.409,0.465,1.104,0.679,0.171,0.807,0.276,-0.683,2.165,-2.04,-0.388,1.353,-1.671,0.539,-0.286,-1.188,-0.521,3.568,1.683,1.694,1.052,0.931,2.297,-1.195,1.375,-0.325,0.144,-0.227,-0.674,-0.138,3.909,0.373,0.24,0.288,-0.34,0.927
2,1.17,0.026,1.401,0.278,-1.579,0.668,-1.589,-2.654,-0.189,0.509,-0.074,0.158,-0.922,-0.046,-0.513,-0.598,1.3,1.033,0.09,1.856,1.06,0.915,2.371,-2.946,0.117,1.633,-1.465,0.804,0.218,-0.744,-0.804,3.065,1.861,0.602,1.046,2.482,2.952,-1.477,2.276,0.388,-0.042,-0.425,2.11,0.267,2.086,-0.059,0.012,0.183,-0.721,1.52
2,0.933,-1.013,0.908,0.043,-2.951,0.39,-0.524,-2.356,-0.642,0.426,-0.367,-1.458,-1.961,-0.257,-2.313,-0.057,0.494,0.54,1.636,1.117,0.664,0.379,2.655,-3.716,-0.881,0.58,-2.206,0.061,-0.542,-0.864,-1.519,3.476,4.051,0.599,0.673,1.843,1.354,-0.921,2.529,-0.087,-0.023,-1.665,-1.131,0.773,2.974,-0.367,-0.279,-0.854,-1.313,0.562
2,1.124,-1.496,0.828,0.051,-1.194,0.549,-2.159,-2.469,-1.554,-0.181,0.097,-1.72,-0.488,0.545,0.091,-0.689,0.897,0.37,-0.404,0.679,-0.245,-0.981,2.346,-2.258,-0.524,0.895,-2.055,0.242,-0.945,-1.754,-1.554,4.652,1.56,1.862,0.534,1.864,1.069,-1.381,1.475,-0.654,-0.319,-0.028,-0.519,-0.112,2.948,0.112,0.316,-0.465,-0.634,1.476
1,0.781,-0.957,1.786,0.287,-0.187,0.984,-2.363,-2.152,-1.699,0.137,0.287,-0.839,-0.986,-0.087,0.052,-0.86,1.121,0.612,-0.287,1.154,0.269,-0.971,1.376,-1.952,-0.503,0.776,-1.839,0.609,-1.42,-1.873,-0.588,4.721,0.61,0.319,0.958,1.395,1.688,-1.496,1.416,-0.105,0.048,0.059,0.931,-0.585,0.95,0.214,-0.618,-1.062,-0.147,1.626
2,0.962,-0.947,1.442,0.304,-2.116,0.833,-1.638,-2.178,-1.311,0.517,0,-2.277,-1.317,0.1,-0.542,-0.286,0.242,-0.114,0.797,0.172,1.37,-0.21,1.853,-2.362,-1.622,1.066,-1.767,0.052,-0.536,-1.391,-1.452,3.132,3.836,0.084,0.846,1.794,1.569,-1.689,1.836,-0.619,-0.562,-0.867,1.036,-0.236,1.267,-0.796,-0.534,-0.336,-0.609,0.947
2,1.043,-1.34,1.084,0.316,-2.694,0.395,-2.53,-2.845,-1.479,0.432,-0.063,-2.342,-0.938,-0.082,0.364,-1.527,1.122,0.634,-1.34,1.005,-0.1,-1.066,2.084,-2.922,-0.333,1.236,-2.378,0.441,0.037,-1.696,-0.801,3.254,1.025,0.975,1.032,2.148,2.012,-1.321,1.505,-0.19,0.321,-0.253,-0.663,-0.594,2.694,0.485,0.672,0.042,-0.288,1.401
2,1.667,-2.163,1.365,0.305,-3.281,0.233,-1.804,-3.624,-1.389,0.478,0.46,-2.88,-0.386,0.553,0.442,-0.803,0.537,0.817,-0.514,0.302,-0.363,-1.253,2.713,-2.819,-1.222,0.717,-0.695,0.279,-0.334,-2.013,-1.045,0.546,1.843,0.536,1.184,-0.401,1.21,-0.603,2.41,-0.18,-0.656,-0.585,-0.412,0.408,1.808,-0.764,0.414,-0.372,-0.31,1.211
2,0.803,-1.566,1.029,0.116,-2.392,-0.177,-1.854,-1.693,-0.595,0.051,0.166,-1.966,0.008,0.173,0.063,-0.655,1.227,0.544,-0.539,0.673,-0.091,-0.811,2.345,-2.721,-0.153,1.269,-2.002,0.462,-0.148,-1.182,-0.445,2.959,1.372,1.892,1.332,0.668,2.341,-1.699,0.86,-0.044,0.107,0.104,-1.767,-0.169,4.206,0.68,0.14,0.1,-0.04,1.243
